channel,locale,sku,status,type,parent,variant_structure,attribute_family,categories,name,description,short_description,price (USD),cost (USD),weight,meta_title,meta_keywords,meta_description,url_key,related_products,cross_sells,up_sells,configurable_attributes,color,size
default,en_US,configurable-product-1,true,configurable,,color,default,root,Configurable Product 1,<p>A configurable shoe available in multiple colours.</p>,"<p>Configurable shoe, colour axis.</p>",100,60,0.5,Fashion Shoes for Every Style,Shoes|New Shoes|Casual Sneakers,Explore our collection of fashion-forward shoes.,configurable-product-1,,,,color,,
default,en_US,configurable-product-1-red,true,simple,configurable-product-1,,default,,,,,100,60,0.5,,,,configurable-product-1-red,,,,,Red,
default,en_US,configurable-product-1-green,true,simple,configurable-product-1,,default,,,,,100,60,0.5,,,,configurable-product-1-green,,,,,Green,
default,en_US,configurable-product-2,true,configurable,,size,default,root,Configurable Product 2,<p>A configurable t-shirt available in multiple sizes.</p>,"<p>Configurable t-shirt, size axis.</p>",100,60,0.3,T-Shirts for Every Season,T-Shirt|Cotton T-Shirt,Soft cotton t-shirts in every size.,configurable-product-2,,,,size,,
default,en_US,configurable-product-2-s,true,simple,configurable-product-2,,default,,,,,100,60,0.3,,,,configurable-product-2-s,,,,,,S
default,en_US,configurable-product-2-m,true,simple,configurable-product-2,,default,,,,,100,60,0.3,,,,configurable-product-2-m,,,,,,M
default,en_US,configurable-product-3,true,configurable,,color_size,default,root,Configurable Product 3,<p>A configurable jacket available in colour and size.</p>,"<p>Configurable jacket, colour and size axes.</p>",250,150,1.2,Jackets Built to Last,Jacket|Winter Jacket,Durable jackets for every climate.,configurable-product-3,,,,"color,size",,
default,en_US,configurable-product-3-s-red,true,simple,configurable-product-3,,default,,,,,250,150,1.2,,,,configurable-product-3-s-red,,,,,Red,S
default,en_US,configurable-product-3-m-green,true,simple,configurable-product-3,,default,,,,,250,150,1.2,,,,configurable-product-3-m-green,,,,,Green,M
default,en_US,simple-product-1,true,simple,,,default,root,Simple Product 1,<p>A standalone accessory sold on its own.</p>,<p>Standalone accessory.</p>,25,12,0.1,Everyday Accessories,Accessory|Everyday,Accessories that finish the look.,simple-product-1,simple-product-2,simple-product-3,,,,
default,en_US,simple-product-2,true,simple,,,default,root,Simple Product 2,<p>A standalone belt sold on its own.</p>,<p>Standalone belt.</p>,35,18,0.2,Belts for Every Outfit,Belt|Leather Belt,Leather belts in classic finishes.,simple-product-2,simple-product-1,,,,,
default,en_US,simple-product-3,true,simple,,,default,root,Simple Product 3,<p>A standalone cap sold on its own.</p>,<p>Standalone cap.</p>,15,7,0.1,Caps and Hats,Cap|Summer Cap,Caps that keep the sun off.,simple-product-3,,,simple-product-2,,,
default,en_US,configurable-product-4,true,configurable,,color_group_size,default,root,Configurable Product 4,"<p>A configurable product demonstrating a variant group hierarchy (colour group, then size).</p>","<p>Configurable product, variant group demo.</p>",100,60,0.4,Layered Variant Group Demo,Variant Group|Demo,Demonstrates a three-level variant group structure.,configurable-product-4,,,,"color,size",,
default,en_US,configurable-product-4-red,true,variant_group,configurable-product-4,,default,,,,,100,60,0.4,,,,configurable-product-4-red,,,,,Red,
default,en_US,configurable-product-4-red-s,true,simple,configurable-product-4-red,,default,,,,,100,60,0.4,,,,configurable-product-4-red-s,,,,,,S
default,en_US,configurable-product-4-red-m,true,simple,configurable-product-4-red,,default,,,,,100,60,0.4,,,,configurable-product-4-red-m,,,,,,M
default,en_US,configurable-product-4-green,true,variant_group,configurable-product-4,,default,,,,,100,60,0.4,,,,configurable-product-4-green,,,,,Green,
default,en_US,configurable-product-4-green-s,true,simple,configurable-product-4-green,,default,,,,,100,60,0.4,,,,configurable-product-4-green-s,,,,,,S
